ID,Resume_str,Resume_html,Category
595,"Software Engineer professional with 6 years of experience in MongoDB, backend development, and data structures.","<p>Software Engineer professional with <b>6 years</b> of experience in <i>MongoDB</i>, <i>backend development</i>, and <i>data structures</i>.</p>",Software Engineer
596,"Business Analyst professional with 7 years of experience in dashboard reporting, Power BI, and SQL.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>dashboard reporting</i>, <i>Power BI</i>, and <i>SQL</i>.</p>",Business Analyst
597,"Marketing professional with 4 years of experience in social media, digital campaigns, and analytics.","<p>Marketing professional with <b>4 years</b> of experience in <i>social media</i>, <i>digital campaigns</i>, and <i>analytics</i>.</p>",Marketing
598,"Marketing professional with 5 years of experience in digital campaigns, analytics, and social media.","<p>Marketing professional with <b>5 years</b> of experience in <i>digital campaigns</i>, <i>analytics</i>, and <i>social media</i>.</p>",Marketing
599,"HR professional with 4 years of experience in HR policies, employee engagement, and recruitment.","<p>HR professional with <b>4 years</b> of experience in <i>HR policies</i>, <i>employee engagement</i>, and <i>recruitment</i>.</p>",HR
600,"Software Engineer professional with 7 years of experience in data structures, MongoDB, and Java.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>data structures</i>, <i>MongoDB</i>, and <i>Java</i>.</p>",Software Engineer
601,"Software Engineer professional with 7 years of experience in algorithms, Python, and Node.js.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>algorithms</i>, <i>Python</i>, and <i>Node.js</i>.</p>",Software Engineer
602,"Mechanical Engineer professional with 6 years of experience in thermodynamics, SolidWorks, and manufacturing processes.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>thermodynamics</i>, <i>SolidWorks</i>, and <i>manufacturing processes</i>.</p>",Mechanical Engineer
603,"Marketing professional with 6 years of experience in analytics, social media, and digital campaigns.","<p>Marketing professional with <b>6 years</b> of experience in <i>analytics</i>, <i>social media</i>, and <i>digital campaigns</i>.</p>",Marketing
604,"Software Engineer professional with 1 years of experience in backend development, MongoDB, and Node.js.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>backend development</i>, <i>MongoDB</i>, and <i>Node.js</i>.</p>",Software Engineer
605,"Business Analyst professional with 7 years of experience in Power BI, dashboard reporting, and client communication.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>Power BI</i>, <i>dashboard reporting</i>, and <i>client communication</i>.</p>",Business Analyst
606,"Software Engineer professional with 1 years of experience in Java, Python, and backend development.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>Java</i>, <i>Python</i>, and <i>backend development</i>.</p>",Software Engineer
607,"Marketing professional with 2 years of experience in SEO, digital campaigns, and content creation.","<p>Marketing professional with <b>2 years</b> of experience in <i>SEO</i>, <i>digital campaigns</i>, and <i>content creation</i>.</p>",Marketing
608,"Software Engineer professional with 7 years of experience in Java, data structures, and Python.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>Java</i>, <i>data structures</i>, and <i>Python</i>.</p>",Software Engineer
609,"Mechanical Engineer professional with 4 years of experience in thermodynamics, quality inspection, and AutoCAD.","<p>Mechanical Engineer professional with <b>4 years</b> of experience in <i>thermodynamics</i>, <i>quality inspection</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
610,"Marketing professional with 2 years of experience in analytics, SEO, and SEM.","<p>Marketing professional with <b>2 years</b> of experience in <i>analytics</i>, <i>SEO</i>, and <i>SEM</i>.</p>",Marketing
611,"HR professional with 7 years of experience in talent acquisition, onboarding, and conflict resolution.","<p>HR professional with <b>7 years</b> of experience in <i>talent acquisition</i>, <i>onboarding</i>, and <i>conflict resolution</i>.</p>",HR
612,"Business Analyst professional with 7 years of experience in Power BI, dashboard reporting, and Excel.","<p>Business Analyst professional with <b>7 years</b> of experience in <i>Power BI</i>, <i>dashboard reporting</i>, and <i>Excel</i>.</p>",Business Analyst
613,"Mechanical Engineer professional with 3 years of experience in AutoCAD, SolidWorks, and thermodynamics.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>AutoCAD</i>, <i>SolidWorks</i>, and <i>thermodynamics</i>.</p>",Mechanical Engineer
614,"Mechanical Engineer professional with 5 years of experience in manufacturing processes, AutoCAD, and quality inspection.","<p>Mechanical Engineer professional with <b>5 years</b> of experience in <i>manufacturing processes</i>, <i>AutoCAD</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
615,"HR professional with 1 years of experience in conflict resolution, recruitment, and talent acquisition.","<p>HR professional with <b>1 years</b> of experience in <i>conflict resolution</i>, <i>recruitment</i>, and <i>talent acquisition</i>.</p>",HR
616,"HR professional with 4 years of experience in HR policies, conflict resolution, and recruitment.","<p>HR professional with <b>4 years</b> of experience in <i>HR policies</i>, <i>conflict resolution</i>, and <i>recruitment</i>.</p>",HR
617,"Mechanical Engineer professional with 3 years of experience in SolidWorks, thermodynamics, and CAD tools.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>SolidWorks</i>, <i>thermodynamics</i>, and <i>CAD tools</i>.</p>",Mechanical Engineer
618,"Business Analyst professional with 1 years of experience in Power BI, dashboard reporting, and data interpretation.","<p>Business Analyst professional with <b>1 years</b> of experience in <i>Power BI</i>, <i>dashboard reporting</i>, and <i>data interpretation</i>.</p>",Business Analyst
619,"Marketing professional with 4 years of experience in digital campaigns, SEM, and social media.","<p>Marketing professional with <b>4 years</b> of experience in <i>digital campaigns</i>, <i>SEM</i>, and <i>social media</i>.</p>",Marketing
620,"HR professional with 4 years of experience in talent acquisition, employee engagement, and conflict resolution.","<p>HR professional with <b>4 years</b> of experience in <i>talent acquisition</i>, <i>employee engagement</i>, and <i>conflict resolution</i>.</p>",HR
621,"Business Analyst professional with 4 years of experience in dashboard reporting, client communication, and Excel.","<p>Business Analyst professional with <b>4 years</b> of experience in <i>dashboard reporting</i>, <i>client communication</i>, and <i>Excel</i>.</p>",Business Analyst
622,"Business Analyst professional with 2 years of experience in SQL, Excel, and data interpretation.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>SQL</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
623,"Marketing professional with 6 years of experience in SEM, content creation, and SEO.","<p>Marketing professional with <b>6 years</b> of experience in <i>SEM</i>, <i>content creation</i>, and <i>SEO</i>.</p>",Marketing
624,"Software Engineer professional with 5 years of experience in Python, Java, and data structures.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>Python</i>, <i>Java</i>, and <i>data structures</i>.</p>",Software Engineer
625,"Software Engineer professional with 5 years of experience in algorithms, Node.js, and MongoDB.","<p>Software Engineer professional with <b>5 years</b> of experience in <i>algorithms</i>, <i>Node.js</i>, and <i>MongoDB</i>.</p>",Software Engineer
626,"Business Analyst professional with 2 years of experience in dashboard reporting, Excel, and SQL.","<p>Business Analyst professional with <b>2 years</b> of experience in <i>dashboard reporting</i>, <i>Excel</i>, and <i>SQL</i>.</p>",Business Analyst
627,"Marketing professional with 7 years of experience in digital campaigns, analytics, and content creation.","<p>Marketing professional with <b>7 years</b> of experience in <i>digital campaigns</i>, <i>analytics</i>, and <i>content creation</i>.</p>",Marketing
628,"Business Analyst professional with 5 years of experience in dashboard reporting, Excel, and data interpretation.","<p>Business Analyst professional with <b>5 years</b> of experience in <i>dashboard reporting</i>, <i>Excel</i>, and <i>data interpretation</i>.</p>",Business Analyst
629,"Software Engineer professional with 7 years of experience in backend development, algorithms, and Node.js.","<p>Software Engineer professional with <b>7 years</b> of experience in <i>backend development</i>, <i>algorithms</i>, and <i>Node.js</i>.</p>",Software Engineer
630,"Marketing professional with 3 years of experience in content creation, digital campaigns, and SEM.","<p>Marketing professional with <b>3 years</b> of experience in <i>content creation</i>, <i>digital campaigns</i>, and <i>SEM</i>.</p>",Marketing
631,"Software Engineer professional with 3 years of experience in MongoDB, Node.js, and Java.","<p>Software Engineer professional with <b>3 years</b> of experience in <i>MongoDB</i>, <i>Node.js</i>, and <i>Java</i>.</p>",Software Engineer
632,"Mechanical Engineer professional with 2 years of experience in quality inspection, manufacturing processes, and AutoCAD.","<p>Mechanical Engineer professional with <b>2 years</b> of experience in <i>quality inspection</i>, <i>manufacturing processes</i>, and <i>AutoCAD</i>.</p>",Mechanical Engineer
633,"Mechanical Engineer professional with 6 years of experience in thermodynamics, CAD tools, and quality inspection.","<p>Mechanical Engineer professional with <b>6 years</b> of experience in <i>thermodynamics</i>, <i>CAD tools</i>, and <i>quality inspection</i>.</p>",Mechanical Engineer
634,"Software Engineer professional with 1 years of experience in backend development, Python, and Node.js.","<p>Software Engineer professional with <b>1 years</b> of experience in <i>backend development</i>, <i>Python</i>, and <i>Node.js</i>.</p>",Software Engineer
635,"Mechanical Engineer professional with 3 years of experience in CAD tools, manufacturing processes, and SolidWorks.","<p>Mechanical Engineer professional with <b>3 years</b> of experience in <i>CAD tools</i>, <i>manufacturing processes</i>, and <i>SolidWorks</i>.</p>",Mechanical Engineer
