ID,JobDescription,Department
5618,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
5619,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
5620,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
5621,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
5622,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
5623,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
5624,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
5625,Looking for a hr professional to Oversee talent acquisition and employee engagement activities.,HR
5626,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
5627,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
5628,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
5629,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
5630,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
5631,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
5632,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
5633,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
5634,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
5635,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
5636,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
5637,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
5638,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
5639,"Looking for a business analyst professional to Analyze client data, prepare dashboard reports, and liaise with stakeholders.",Business Analyst
5640,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
5641,"Looking for a software engineer professional to Maintain backend infrastructure, write efficient code in Java/Python.",Software Engineer
5642,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
5643,"Looking for a marketing professional to Develop social media strategies, content creation, and digital analytics.",Marketing
5644,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
5645,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
5646,"Looking for a business analyst professional to Evaluate business processes, document requirements, and communicate solutions.",Business Analyst
5647,"Looking for a mechanical engineer professional to Design CAD models, supervise manufacturing processes, and conduct inspections.",Mechanical Engineer
5648,"Looking for a mechanical engineer professional to Monitor assembly lines, apply thermodynamics principles, and use CAD tools.",Mechanical Engineer
5649,"Looking for a software engineer professional to Implement algorithms, data structures, and software architecture.",Software Engineer
5650,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
5651,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
5652,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
5653,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
5654,"Looking for a business analyst professional to Generate insights using Power BI, Excel, and SQL queries.",Business Analyst
5655,"Looking for a hr professional to Manage employee onboarding, recruitment processes, and conflict resolution.",HR
5656,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
5657,"Looking for a marketing professional to Plan and execute SEO/SEM campaigns, analyze digital KPIs, and optimize ROI.",Marketing
5658,"Looking for a software engineer professional to Develop backend services using Node.js, MongoDB, and REST APIs.",Software Engineer
5659,"Looking for a marketing professional to Handle marketing campaigns, SEO optimization, and performance tracking.",Marketing
